Source,Company,Job ID,Title,Location,URL,Score,First Seen,Last Seen
greenhouse,Lila,4031326009,"Machine Learning Scientist I/II, LLM Training & Inference Research","Cambridge, MA USA; San Francisco, CA USA",https://job-boards.greenhouse.io/lilasciences/jobs/4031326009,29,2025-12-20T00:15:46+00:00,2025-12-21T11:12:28+00:00
greenhouse,Lila,4029507009,AI Lab Research Engineer,"Cambridge, MA USA; San Francisco, CA USA",https://job-boards.greenhouse.io/lilasciences/jobs/4029507009,28,2025-12-20T00:15:46+00:00,2025-12-21T11:12:28+00:00
greenhouse,Revolution Medicines,6671800003,"Senior Scientist I, Computational Biology, Genomics","Redwood City, California, United States",https://www.revmed.com/careers-list/?gh_jid=6671800003,27,2025-12-20T00:18:39+00:00,2025-12-21T11:14:02+00:00
greenhouse,Flagship Pioneering,8342983002,"(Senior) Scientist, ML/AI Antibody Design","Boston, MA USA",https://boards.greenhouse.io/flagshippioneeringinc/jobs/8342983002?gh_jid=8342983002,27,2025-12-20T00:15:48+00:00,2025-12-21T11:12:30+00:00
greenhouse,Lila,4031323009,"Machine Learning Engineer, Distributed & Scalable Training","Cambridge, MA USA; San Francisco, CA USA",https://job-boards.greenhouse.io/lilasciences/jobs/4031323009,27,2025-12-20T00:15:46+00:00,2025-12-21T11:12:28+00:00
greenhouse,Lila,4031318009,"Machine Learning Scientist I/II, Biomolecule Design","Cambridge, MA USA; San Francisco, CA USA",https://job-boards.greenhouse.io/lilasciences/jobs/4031318009,26,2025-12-20T00:15:46+00:00,2025-12-21T11:12:28+00:00
greenhouse,Lila,4031295009,"AI Scientist I/II, Generative Modeling for Materials Science","Cambridge, MA USA",https://job-boards.greenhouse.io/lilasciences/jobs/4031295009,25,2025-12-20T00:15:46+00:00,2025-12-21T11:12:28+00:00
greenhouse,Lila,4052832009,"ML Research Scientist I/II, Multimodal Data Extraction","Cambridge, MA USA",https://job-boards.greenhouse.io/lilasciences/jobs/4052832009,25,2025-12-20T00:15:46+00:00,2025-12-21T11:12:28+00:00
greenhouse,Flagship Pioneering,8087566002,"Senior Scientist, AI Protein Design ","Boston, MA USA",https://boards.greenhouse.io/flagshippioneeringinc/jobs/8087566002?gh_jid=8087566002,24,2025-12-20T00:15:48+00:00,2025-12-21T11:12:30+00:00
greenhouse,FormationBio,6623947,Senior Data Scientist,"New York, NY; Boston, MA; Raleigh, NC",https://job-boards.greenhouse.io/formationbio/jobs/6623947,23,2025-12-20T00:15:47+00:00,2025-12-21T11:12:29+00:00
greenhouse,FormationBio,7408743,Senior Data Engineer II - Electronic Health Records (EHR),"New York, NY; Boston, MA; San Francisco, CA; Raleigh, NC",https://job-boards.greenhouse.io/formationbio/jobs/7408743,22,2025-12-20T00:15:47+00:00,2025-12-21T11:12:29+00:00
workday,Sanofi,/job/Cambridge-MA/Data-Science--AI--and-Machine-Learning-Lead_R2809722-1,"Data Science, AI, and Machine Learning Lead","Cambridge, MA",https://sanofi.wd3.myworkdayjobs.com/job/Cambridge-MA/Data-Science--AI--and-Machine-Learning-Lead_R2809722-1,22,2025-12-20T00:18:38+00:00,2025-12-20T02:42:51+00:00
workday,Tempus AI,/job/Boston/Senior-Scientist--Computational-Biology--Pharma-R-D_JR202501064,"Senior Scientist, Computational Biology, Pharma R&D",Boston,https://tempus.wd5.myworkdayjobs.com/job/Boston/Senior-Scientist--Computational-Biology--Pharma-R-D_JR202501064,21,2025-12-20T00:19:30+00:00,2025-12-21T11:14:34+00:00
greenhouse,EvolutionaryScale,4030274008,"Research Engineer, AI","New York, NY // Redwood City, CA, United States",https://job-boards.greenhouse.io/evolutionaryscale/jobs/4030274008,21,2025-12-20T00:15:46+00:00,2025-12-21T11:12:28+00:00
greenhouse,Owkin,4741138101,Register Your Interest – Senior ML/Research Engineer,"Paris - Nantes - London - Remote in France, UK or Germany",https://www.owkin.com/careers?gh_jid=4741138101#current-opportunities,20,2025-12-20T00:19:31+00:00,2025-12-21T11:14:36+00:00
greenhouse,Flagship Pioneering,8296862002,2026 Flagship Pioneering AI/ML Fellowship,"Cambridge, MA USA",https://boards.greenhouse.io/flagshippioneeringinc/jobs/8296862002?gh_jid=8296862002,20,2025-12-20T00:15:48+00:00,2025-12-21T11:12:30+00:00
greenhouse,Flagship Pioneering,8338014002,Data Scientist,"Cambridge, MA USA",https://boards.greenhouse.io/flagshippioneeringinc/jobs/8338014002?gh_jid=8338014002,20,2025-12-20T00:15:48+00:00,2025-12-21T11:12:30+00:00
greenhouse,Flagship Pioneering,8308440002,"Machine Learning Scientist I/II, Chemistry","Cambridge, MA USA",https://boards.greenhouse.io/flagshippioneeringinc/jobs/8308440002?gh_jid=8308440002,20,2025-12-20T00:15:48+00:00,2025-12-21T11:12:30+00:00
greenhouse,Flagship Pioneering,8329370002,Machine Learning Software Engineer,"Cambridge, MA USA",https://boards.greenhouse.io/flagshippioneeringinc/jobs/8329370002?gh_jid=8329370002,20,2025-12-20T00:15:48+00:00,2025-12-21T11:12:30+00:00
greenhouse,Flagship Pioneering,8187981002,(Senior) Machine Learning Scientist,"Cambridge, MA USA",https://boards.greenhouse.io/flagshippioneeringinc/jobs/8187981002?gh_jid=8187981002,20,2025-12-20T00:15:48+00:00,2025-12-21T11:12:30+00:00
