Source,Company,Job ID,Title,Location,URL,Score,First Seen,Last Seen
greenhouse,Maze Therapeutics,8318915002,"Senior Scientist I, Computational Biology	","South San Francisco, CA",http://www.mazetx.com/careers/?gh_jid=8318915002,20,2025-12-27T11:12:27+00:00,2025-12-27T11:12:27+00:00
greenhouse,Lila,4087170009,"Research Scientist, Dexterous Manipulation & Robot Learning ","Cambridge, MA USA",https://job-boards.greenhouse.io/lilasciences/jobs/4087170009,18,2025-12-27T11:12:23+00:00,2025-12-27T11:12:23+00:00
greenhouse,Beacon Biosignals,4088773009,Software Engineer IV (Tech Lead),"Boston, MA - Remote",https://job-boards.greenhouse.io/beaconbiosignals/jobs/4088773009,16,2025-12-27T11:13:45+00:00,2025-12-27T11:13:45+00:00
greenhouse,Flagship Pioneering,8351881002,"Scientist, LNP Formulations","Cambridge, MA USA",https://boards.greenhouse.io/flagshippioneeringinc/jobs/8351881002?gh_jid=8351881002,15,2025-12-27T11:12:25+00:00,2025-12-27T11:12:25+00:00
greenhouse,Flagship Pioneering,8351972002,"Senior Scientist I/II, Chemistry & Formulations","Cambridge, MA USA",https://boards.greenhouse.io/flagshippioneeringinc/jobs/8351972002?gh_jid=8351972002,15,2025-12-27T11:12:25+00:00,2025-12-27T11:12:25+00:00
greenhouse,Generate,4627576006,"Senior Software Engineer I, Cloud and DevOps","Somerville, MA",https://generatebiomedicines.com/open-positions?gh_jid=4627576006,15,2025-12-27T11:12:23+00:00,2025-12-27T11:12:23+00:00
greenhouse,Beacon Biosignals,4088173009,Senior Product Designer,"Boston, MA - Remote",https://job-boards.greenhouse.io/beaconbiosignals/jobs/4088173009,13,2025-12-27T11:13:45+00:00,2025-12-27T11:13:45+00:00
greenhouse,Flagship Pioneering,8351787002,"Vice President, Data Platform (Pioneering Intelligence)","Cambridge, MA USA",https://boards.greenhouse.io/flagshippioneeringinc/jobs/8351787002?gh_jid=8351787002,12,2025-12-27T11:12:25+00:00,2025-12-27T11:12:25+00:00
lever,Deep Genomics,faee24eb-d389-4579-ad78-c30af306f438,"Senior Research Associate, Platform Technology","Cambridge, MA",https://jobs.lever.co/deepgenomics/faee24eb-d389-4579-ad78-c30af306f438,10,2025-12-27T11:14:15+00:00,2025-12-27T11:14:15+00:00
greenhouse,Flagship Pioneering,8351861002,"Research Associate, LNP Formulations","Cambridge, MA USA",https://boards.greenhouse.io/flagshippioneeringinc/jobs/8351861002?gh_jid=8351861002,10,2025-12-27T11:12:25+00:00,2025-12-27T11:12:25+00:00
workday,Sanofi,/job/Framingham-MA/Principal-Scientist_R2820724,Purification Applications Leader,"Framingham, MA",https://sanofi.wd3.myworkdayjobs.com/job/Framingham-MA/Principal-Scientist_R2820724,10,2025-12-20T02:42:51+00:00,2025-12-20T02:42:51+00:00
greenhouse,Owkin,4743507101,Forward Deployed Engineer,Germany - Remote,https://www.owkin.com/careers?gh_jid=4743507101#current-opportunities,9,2025-12-27T11:14:14+00:00,2025-12-27T11:14:14+00:00
greenhouse,Calico Labs,8352969002,"Drug Discovery, Project Team Leader","South San Francisco, CA",https://www.calicolabs.com/careers/?gh_jid=8352969002,7,2025-12-27T11:13:40+00:00,2025-12-27T11:13:40+00:00
